Key,English,Chinese
slogan_simple,Simple,简单
slogan_secure,Secure,安全
slogan_powerful,Powerful,强大
slogan_main,Fingo - a safe Bitcoin & Ethereum Wallet,Fingo -  安全的比特币&以太坊钱包
feature1_title,Ultra Secure,极致安全
feature1_desc,All keys are created on your local device and never sent to any servers. Save your asset to multiple wallets to protect your privacy while also disperse risks,所有密钥都是在本地设备上创建的，不会发送到任何服务器；多钱包存储，保护您的隐私也将风险降到最低
feature2_title,500+ Cryptocurrencies,500+币种
feature2_desc,"Support all main stream cryptocurrencies, including Bitcoins, Ethereum, and 500+ Ethereum tokens( BNB, OMG, etc.). ","支持所有主流的加密货币，包括比特币，以太坊，和500+以太坊代币(BNB,OMG等)"
feature3_title,Multiple Wallets,多个钱包
feature3_desc,"Download one application, create as many wallets as you need, separate funds according to different purposes, secure your funds by dispersing risk.",下载 Fingo，你需要几个钱包，即可创建几个钱包，根据用途分门别类管理资金，分散风险保障资金安全
feature4_title,Realtime Ticker,实时行情
feature4_desc,"Keep track of the market price changes, realtime price from trusted exchange platform, never miss a chance to win more",追踪市场价格变动，从权威的交易平台获取实时数据，决不错过任何一个赚钱的机会
feature5_title,Easy to Use,极简操作
feature5_desc,"Optimized operations without compromising security.
Simple design, user-friendly interface, easy backup process with only two steps, even 8 years old knows how to use it.",在不损失安全的前提下，优化操作步骤。备份钱仅需两步。简单的操作，友好的交互界面。让8岁的孩子都可以轻松操作。
feature6_title,Multi-signature(Shared) Wallet,多重签名(共享)钱包
feature6_desc,"Secure your cryptos with more private keys, manage a shared(Multi-signature) wallet along with others (either your families or coworkers)",使用多个私钥保护您的加密数字货币资产，与其他人（您的家人或同事）一起管理共享(多签)钱包
more_download,Download fingo wallet to learn more,下载Fingo钱包，了解更多特性
about_us,About Us,关于我们
about_us_desc,"Fingo team is made up with experienced blockchain developers, our main goal is to provide users with the best wallet to protect and manage their crypto-currencies, make it easy for users to access and transfer their coins and tokens",Fingo 团队由区块链开发经验丰富的开发者组成，团队致力于为用户提供简单好用又安全的加密数字货币钱包，方便用户管理资产，进行转账等操作
contactus,Contact Us,联系我们
faq,FAQ,常见问题
terms,Terms of Service,服务条款
privacy,Privacy Policy,隐私政策
question1,1. What is Fingo?,1. Fingo是什么？
answer1,"Fingo is a hierarchical deterministic wallet that supports multi-currencies and multi-wallets, giving users full control over their private keys",Fingo 是一个支持多币种多钱包的分层确定性钱包，用户可以完全掌控自己的私钥
question2,2. What is a wallet?,2. 钱包是什么？
answer2,"Your crypto-currency wallet usually contains your private key which is used to create coin's address and also to sign outgoing transactions, with a wallet, you can check your balance, receive and send crypto assets",加密货币钱包通常包含钱包私钥，私钥可以用于创建地址以及签名交易，通过钱包，您可以查询余额，收款和转账
question3,3. How to create a wallet?,3. 怎么创建钱包？
answer3,"Launch the app, click Create Wallet, back up your mnemonic words, and that’s all",启动应用，点击创建钱包，备份您的助记词，即可完成钱包创建
question4,4. Do I need to create a wallet for each coin?,4. 需要给每一个币都创建一个钱包吗？
answer4,"No, every wallet you created contains all the crypto-currencies supported by Fingo",不需要，您创建的每一个钱包，都包含了Fingo支持的所有币种
question5,5. What is a mnemonic?,5. 什么是助记词？
answer5,"Mnemonic words is also known as seed phrase, which is a list of words which store all the information needed to recover a wallet, using the mnemonic words, you can restore your wallet and use the funds even if you uninstall the app",助记词也叫种子密码，通常是一组随机生成的单词，包含了恢复钱包需要的所有信息，只要有助记词，即使卸载了应用，也能恢复钱包和使用其内资金
question6,6. What does it mean by import wallet?,6. 导入钱包是指什么？
answer6,"by import wallet, you can use your mnemonic words to restore your existing wallet, and Fingo supports all wallets created according to bip 44(including wallets created by other application)",通过导入钱包功能，您可以使用助记词将已有的钱包进行恢复，Fingo支持所有遵循bip 44规则创建的钱包(包括在其它应用创建的)
question7,7. How do I use Fingo wallet?,7. 怎么使用钱包？
answer7,"you can use Fingo to send and receive supported coins and tokens, and check your current balance. To send, just enter the amount and paste the receiving address; To Receive, show your address QR code or copy your wallet address and send it to the other person.",您可以使用Fingo发送和接收支持的币种，查看当前账户余额。输入金额和对方地址即可发送；如果想收款，发送您的收款二维码或收款地址给对方即可
question8,8. How do I keep my asset secure?,8. 怎么保护好自己的资产？
answer8,"Always keep a backup of your mnemonic words in a safe place! Be sure not to lose them. If you do, there is absolutely no way to restore your assets.",在安全的地方备份一份助记词！ 千万不要丢失助记词， 如果丢失，没有任何办法能恢复您的资产
question9,9. My transaction has been unconfirmed for a long time.  What can I do?,9. 交易一直没有被确认，我该怎么做？
answer9,"Due to the low miner fee or the congestion of the p2p network, your transaction may not be confirmed for some time. Some coins such as Bitcoin may accept additional miner fee. For those that does not support, please be patient and wait for the transaction to be confirm",由于矿工费用设置过低或网络出现拥堵，您的交易可能一时无法被确认，部分币种如比特币，可能支持追加矿工费，其它不支持追加的币种，您需要耐心等待网络恢复正常
question10,10. What is miner fee?,10. 矿工费是什么？
answer10,"After your transaction is broadcasted, it needs to be verified and confirmed recorded on the corresponding blockchain by miners. The miners maintain the nodes and confirm that the transaction consumes various resources. Therefore, miners charge the transaction sender a certain fee, which is called the miner fee. Fingo will never charge users for wallet services",您的交易发出之后，需要由矿工进行验证和确认，并且记入相应区块链上，矿工维持节点和确认交易会消耗各类资源，因此矿工会向交易发送方收取一定的费用，这就是所谓的矿工费，Fingo本身是不会收取任何费用的
