Key,Chinese,English,
start_new_wallet,创建钱包,Create Wallet,
start_import_wallet,导入钱包,Import Wallet,
start_new_backup,开始备份,Start Backup,
start_new_backup_skip,以后再备份,Backup Later,
start_new_backup_wallet,备份钱包,Backup Wallet,
backup_wallet_prenotice,为了方便你以后恢复此钱包，请备份你的钱包助记词,"To restore your wallet in any cases, please back the mnemonic words for this wallet",
backup_wallet_notice_title,注意,Notice,
backup_wallet_notic_desc1,1. 确保身边没有人会看到你的助记词,1. Make sure no one can see your mnemonic words,
backup_wallet_notic_desc2,2. 不要截图记录助记词，其它应用能够从截图上读取到你的助记词,"2. Do not screenshot, other apps are able to read your mnemonic words from screenshots",
backup_wallet_suggest,3. 建议将助记词抄写在纸上，并妥善保管,3. Write these words down on paper and keep it safe,
backup_wallet_gotit,好的，我知道了,"OK, Got it!",
backup_wallet_men,请有序记录以下助记词,Write down the following words in order,
mnemonic_number,助记词数量,Number of Mnemonic Words,
mnemonic_advance,高级选项,Advanced Options,
common_wrote,我已经记下,I've Written Down,
common_input_ps,输入密码,Enter Password,
common_confirm_ps,确认密码,Repeat Password,
toast_ps_not_match,两次密码不一致！,The passwords does not match!,
mnemonic_confirm,确认助记词,Confirm Mnemonics,
mnemonic_confirm_desc,请按记录的顺序选择助记词,Select your mnemonic words by the right order,
common_confirm,确认,Confirm,
toast_incorrect_mnemonic,顺序错误，请重新输入,"Incorrect sequence, please try again",
mnemonic_remove_title,移除助记词,Remove Mnemonic Words,
mnemonic_remove_desc,确认完成，是否将助记词从应用中移除？,"Confirmed, do you want to remove your mnemonic words from the app?",
common_cancel,取消,Cancel,
common_delete,删除,Delete,
common_first_wallet,我的第一个钱包,My First Wallet,
tab_wallet,钱包,Wallet,
tab_trends,行情,Ticker,
tab_me,我的,Me,
more_add_wallet,添加钱包,Add Wallet,
wallet_add_coin,添加币种,Add Coins,
common_back,返回,Back,
coin_send,转账,Send,
coin_receive,收款,Receive,
coin_received,收入,Received,
coin_sent,支出,Sent,
coin_send_confirming,确认中,Confirming,
coin_transactions,交易记录,Transactions,
coin_none_balance,无余额可用,No balance available,
coin_send_failed,交易失败,Transaction Failed,
wallet_scan_qrcode,扫描二维码,Scan QR Code,
coin_insufficient_balance,余额不足,Insufficient Balance,
coin_send_title,转账{{value}},Send {{value}},
coin_receive_address,收款地址,Receive Address,
coin_send_address_hint,输入地址或联系人,Enter address or contact name,
common_contacts,联系人,Contacts,
contacts_show_all,展开所有,Show All,
coin_transfer_other_wallet,转到自己钱包,Send to My Wallet,
common_address,地址,Address,
common_name,名称,Name,
error_1202,地址不合法,Invalid Address,
common_amount,金额,Amount,
coin_send_fee,验证者费用,Validator Fee,
fee_level_common,常规,Common,
fee_desc,约为转账金额的{{value}},{{value}}  of the sending amount,
common_pay_now,立即支付,Pay Now,
send_add_memo,添加备注,Add memo,
fee_level_urgent,紧急,Urgent,
fee_level_desc,费用选项,Fee Options,
send_average_confirm_timw,平均确认时间,Average Confirm Time,
common_hours,{{value}}小时,{{value}} hour,
common_minutes,{{value}}分钟,{{value}} minutes,
fee_level_prioritized,优先,Prioritized,
fee_level_current,当前选项费率,Current Fee,
fee_policy_title,{{value}} 费用选项,{{value}} Validator Fee Options,
fee_level_economy,经济,Economy,
