Key,English,Chinese
start_new_wallet,Create Wallet,创建钱包
start_import_wallet,Import Wallet,导入钱包
start_new_backup,Start Backup,开始备份
start_new_backup_skip,Backup Later,以后再备份
start_new_backup_wallet,Backup Wallet,备份钱包
backup_wallet_prenotice,"To restore your wallet in any cases, please back the mnemonic words for this wallet",为了方便你以后恢复此钱包，请备份你的钱包助记词
backup_wallet_introduce,"Mnemonic words are random words of 12 or 24 bits, you can restore your wallet with these words at any time",钱包助记词为12/24位随机单词，使用此助记词，可随时获取你的钱包信息
backup_wallet_notice_title,Notice,注意
backup_wallet_notic_desc1,1. Make sure no one can see your mnemonic words,1. 确保身边没有人会看到你的助记词
backup_wallet_notic_desc2,"2. Do not screenshot, other apps are able to read your mnemonic words from screenshots",2. 不要截图记录助记词，其它应用能够从截图上读取到你的助记词
backup_wallet_suggest,3. Write these words down on paper and keep it safe,3. 建议将助记词抄写在纸上，并妥善保管
backup_wallet_gotit,"OK, Got it!",好的，我知道了
backup_wallet_men,Write down the following words in order,请有序记录以下助记词
mnemonic_number,Number of Mnemonic Words,助记词数量
mnemonic_advance,Advanced Options,高级选项
common_wrote,I've Written Down,我已经记下
mnemonic_passphrase,Add a password to protect the mnemonic words(Optional),添加助记词密码保护助记词(可选)
mnemonic_passphrase_tips,"If you lost the password, you will not be able to restore your wallet with mnemonic words only, your funds are irrecoverable.",助记词密码如果丢失，仅助记词将无法恢复钱包，资金将无法找回，请妥善保管
common_input_ps,Enter Password,输入密码
common_confirm_ps,Repeat Password,确认密码
toast_ps_not_match,The passwords does not match!,两次密码不一致！
mnemonic_confirm,Confirm Mnemonic Words,确认助记词
mnemonic_confirm_desc,Enter your the mnemonic words by the right order,请按记录的顺序输入助记词
common_confirm,Confirm,确认
toast_incorrect_mnemonic,"Incorrect Mnemonic Words, please try again",助记词错误，请重新输入
mnemonic_remove_title,Remove Mnemonic Words,移除助记词
mnemonic_remove_desc,"Confirmed, do you want to remove your mnemonic words from the app?",确认完成，是否将助记词从应用中移除？
common_cancel,Cancel,取消
common_delete,Delete,删除
common_first_wallet,My First Wallet,我的第一个钱包
tab_wallet,Wallet,钱包
tab_trends,Ticker,行情
tab_me,Me,我的
more_add_wallet,Add Wallet,添加钱包
wallet_add_coin,Add Coins,添加币种
common_back,Back,返回
coin_send,Send,发送
