Key,English,Chinese
common_collocation,Collocation,托管
common_Deposit,Deposit,存款
common_Loan,Loan,借贷
common_exchange,Exchange,兑换
common_enterprise,Enterprise Edition,企业版
product_intr,Product introduction,产品介绍
org_governace,DAO,组织自治
homepage_headline,Secure one-stop digital asset financial service platform,安全一站式数字资产金融服务平台
asset_manage,Assets managed,资产托管
mortgage loan,Mortgage loan,抵押借贷
deposit_interest,Deposit interest,存币生息
personal_login,Personal Login,个人版登陆
enterprise_login,Enterprise Login,企业版登陆
homepage_wallet_intr,"Digital assets, mastered at one hand; multi-currency cross-chain, one-stop management",数字资产，一手掌握；多币种跨链，一站式管理
homepage_download_intr,Scan code download to open a new financial journey,扫码下载，开启全新的金融之旅
homepage_title_pi,Interest-increasing stable currency PI,增息型稳定币PI
homepage_intr_pi,"PI redefines the concept of stable currency, which is a stable currency with asset mortgage protection, decentralization, anti-fluctuation, and interest rate increase. Any user with PI can exercise the same monetary rights in the digital financial world as in traditional economic society.",PI 对稳定币概念进行重新定义，是一种具有资产抵押保障、去中心、抗波动、可增息的稳定币。任何持有PI的用户皆可在数字金融世界行使与传统经济社会中一样的货币权利
see_more,See More,查看更多
homepage_title_crosschain,Cross-chain reserve system,跨链储备系统
homepage_intr_crosschain,"Multi-currency cross-chain transfer, multi-purpose use of chain assets",多币种跨链转入，链资产多元用途
common_community,Community,社区
contact_us,Contact Us,联系我们
development_document,Development Document,开发文档
dl_chrome_intr,You can only get PI related services on the Chrome desktop browser,您只能在Chrome桌面浏览器上获取PI相关服务
dl_chrome_link,Download Chrome Browser,下载chrome浏览器
dl_wallet_intr,"You have not installed PI officially specified browser wallet Asilink, please download and install and log in and try again",您暂未安装PI官方指定浏览器钱包Asilink，请下载安装并登陆后再次尝试
dl_in_google,Go to the Google Store to download,到谷歌商店下载
dl_package_link,Can't open Google Store? Click to download the installation package directly,打不开谷歌商店? 点击直接下载安装包
view_tutorial,View the installation tutorial,查看安装教程
wallet_authorized,Wallet authorized login,钱包授权登陆
common_overview,Overview,总览
deposit_pi,Deposit PI,存 PI
loan_pi,Loan PI,借 PI
common_asset,Assets,资产
account_set,Account settings,账户设置
total_pi,Total PI,PI 资产总值
my_deposit,My Deposits,我的存款
common_help,Help,帮助
common_language,Language,语言
