Key,English,Chinese,,,
import_xpkey_desc,"Enter your XPublic Key to watch the wallet you use to manage client’s funds, it can be any wallet you created with other application",输入您用来管理客户资金的钱包母公钥，这个钱包可以是您在其它应用创建的任何钱包,,,
watch_address,Watch Address,观察地址,,,
watch_start,Start Watch,开始观察,,,
tips_get_xpkey,How to get your XPublic Key?,怎么找到钱包的母公钥,,,
error_15,Can’t import a wallet that already have balance,不能导入有余额的钱包,,,
tip_name_bank,"Your XPublic Key related wallet will act like a bank to your clients, name it so your clients can distinguish from others",这个母公钥对应的钱包对于您的客户来说像是一个币行，请取一个正式的名字方便您的客户识别,,,
common_name,Your Real Name,您的真实姓名,,,
common_bankname,Bank Name,币行名称,,,
button_sts_liquidate,Liquidate,清算,,,
sts_liquidated,Liquidated,已清算,,,
button_sts_auto_confirmed,Auto-confirmed,已自动确认,,,
timestmp_today,Today,今天,,,
timestmp_yestoday,Yesterday,昨天,,,
tab_customer,Client,客户,,,
tab_settings,Settings,设置,,,
liquidate_mark,Mark as Liquidated,标记为已经清算,,,
liquidate_mark_tips,Mark this transaction as liquidated after you have done the payment,在完成付款后，可将此笔交易标记为已清算,,,
qrcode_save,Save QR Code to Album,保存二维码至相册,,,
customer_empty_tips,Invite some client,邀请您的客户加入,,,
invite_qrcode_tips,Share this QR Code to invite client,分享二维码邀请客户加入,,,
common_cancel,Cancel,取消,,,
customer_total,Total Clients,总客户数,,,
asset_total,Total Assets,总资产数,,,
sts_to_liquidate,Pending Review,待审核,,,
common_back,Back,返回,,,
common_trasaction_detail,Transaction Detail,交易详情,,,
coin_receive_address,Receive Address,收款地址,,,
detail_pay_account,Payment Account,付款帐号,,,
detail_fee,Fee,费用,,,
detail_brokerage,Brokerage,收益,,,
common_date,Date,日期,,,
common_status,Status,状态,,,
transaction_detail_memo,Memo,备注,,,
transaction_detail_view_more,View More,查看更多,,,
settings_personal,Account Info,账户信息,,,
settings_currency,Currency,计价货币,,,
settings_language,Language,语言,,,
settings_auth,Real Name Authentication,实名认证,,,
me_lock_app,Lock App,锁定应用,,,
settings_backinfo,Bank Info,币行信息,,,
bankinfo_date,Create Date,创建日期,,,
bankinfo_funds,Current Funds,当前资金,,,
bankinfo_turnover,Turnover,流水,,,
bankinfo_revenue,Total Revenue,总收益,,,
personal_display,Your photo and name will be displayed at your clients’s side,您的头像和名字会展示给您的客户,,,
personal_profile,Profile Photo,头像,,,
personal_take_photo,Take Photo,拍照,,,
personal_choose_photo,Choose from Album,从相册选取,,,
camera_none_access,Fingo does not have access to your Camera,Fingo没有相机权限,,,
album_none_access,Fingo does not have access to  your Camera Roll,Fingo没有相册权限,,,
