Key,English,Chinese
start_new_wallet,Create Wallet,创建钱包
start_import_wallet,Import Wallet,导入钱包
start_new_backup,Start Backup,开始备份
start_new_backup_skip,Backup Later,以后再备份
start_new_backup_wallet,Backup Wallet,备份钱包
backup_wallet_prenotice,"To restore your wallet in any cases, please back the mnemonic words for this wallet",为了方便你以后恢复此钱包，请备份你的钱包助记词
backup_wallet_introduce,"The wallet mnemonic is a 12-bit random word corresponding to the wallet's private key, you can restore your wallet with these words at any time with it",钱包助记词为对应钱包私钥的12位随机单词，使用助记词，您可随时恢复钱包并使用其中资产
backup_wallet_men,Please record the following mnemonic words in order and keep them offline. It is recommended to write them on paper and keep it safe,请按顺序记录以下助记词，并离线保存在安全的地方，建议抄写在纸上，并妥善保存
mnemonic_number,Number of Mnemonic Words,助记词数量
mnemonic_advance,Advanced Options,高级选项
common_wrote,I've Written Down,我已经记下
mnemonic_passphrase,Add a password to protect the mnemonic words(Optional),添加助记词密码保护助记词(可选)
mnemonic_passphrase_tips,"If you lost the password, you will not be able to restore your wallet with mnemonic words only, your funds are irrecoverable.",助记词密码如果丢失，仅助记词将无法恢复钱包，资金将无法找回，请妥善保管
common_input_ps,Enter Password,输入密码
common_confirm_ps,Repeat Password,确认密码
toast_ps_not_match,The passwords does not match!,两次密码不一致！
mnemonic_confirm,Confirm Mnemonic Words,确认助记词
mnemonic_confirm_desc,Select the mnemonic words by the order of your record to ensure your record is correct,请按记录的顺序选择助记词，以确保您的记录是正确的
common_confirm,Confirm,确认
toast_incorrect_mnemonic,"Incorrect Mnemonic Words, please try again",助记词错误，请重新输入
mnemonic_remove_title,Remove Mnemonic Words,移除助记词
mnemonic_remove_desc,"Confirmed, do you want to remove your mnemonic words from the app?",确认完成，是否将助记词从应用中移除？
common_cancel,Cancel,取消
common_delete,Delete,删除
common_first_wallet,My First Wallet,我的第一个钱包
tab_wallet,Wallet,钱包
tab_trends,Ticker,行情
tab_me,Me,我的
more_add_wallet,Add Wallet,添加钱包
wallet_add_coin,Add Coins,添加币种
common_back,Back,返回
coin_send,Send,发送
coin_receive,Receive,收款
coin_received,Received,收入
coin_sent,Sent,支出
coin_send_confirming,Confirming,确认中
coin_transactions,Transactions,交易记录
coin_none_balance,No balance available,无余额可用
coin_send_failed,Transaction Failed,交易失败
